system:index,Area,id,Date
0,3370.644055,0,20180901
1,3703.477608,1,20181001
2,2012.177456,2,20181101
3,1836.499641,3,20181201
4,2288.920053,4,20190101
5,2287.976726,5,20190201
6,2124.563827,6,20190301
7,2214.760226,7,20190401
8,2559.180276,8,20190501
9,2575.179994,9,20190601
10,2294.466438,10,20190701
11,68.12633362,11,20190801
12,3291.718026,12,20190901
13,2508.601048,13,20191001
14,2715.205733,14,20191101
15,2334.157314,15,20191201
16,2348.783952,16,20200101
17,2869.605395,17,20200201
18,2904.915253,18,20200301
19,2401.990595,19,20200401
