,Av_level,Date,Date_num
0,-8.174512978666318,2018-10-28,20181028
1,-12.127641038146558,2018-11-01,20181101
2,-10.92929144080106,2018-11-02,20181102
3,-12.537385904997679,2018-11-30,20181130
4,-10.976645161757718,2018-12-01,20181201
5,-11.737712120119467,2018-12-30,20181230
6,-15.835810494422912,2019-01-03,20190103
7,-13.102950556947308,2019-01-27,20190127
8,-16.820702258060138,2019-01-31,20190131
9,-16.061759846881756,2019-02-01,20190201
10,-15.983338416577176,2019-03-01,20190301
11,-14.356109487548355,2019-03-30,20190330
12,-17.76789975052245,2019-04-03,20190403
13,-17.862430880046436,2019-05-02,20190502
14,-16.016539292118527,2019-05-31,20190531
15,-14.21914667606889,2019-07-28,20190728
16,-18.180975179319027,2019-08-01,20190801
17,-15.618586222330729,2019-08-29,20190829
18,-14.756242174090762,2019-08-30,20190830
19,-10.8889963424107,2019-09-28,20190928
20,-9.334154406680337,2019-10-27,20191027
21,-13.360894241333007,2019-10-31,20191031
22,-13.599602803917099,2019-11-28,20191128
23,-13.327064946709033,2019-11-29,20191129
24,-14.811214558941844,2019-12-27,20191227
25,-12.898036046989555,2019-12-28,20191228
26,-17.04112162580663,2020-01-01,20200101
27,-14.41220646595116,2020-01-25,20200125
28,-18.040713412945088,2020-01-29,20200129
29,-16.356195057550757,2020-01-30,20200130
30,-12.912174130274245,2020-02-23,20200223
31,-17.221802507830297,2020-02-27,20200227
32,-15.153860277172486,2020-02-28,20200228
33,-15.437705936743015,2020-03-27,20200327
34,-14.823682972503034,2020-03-28,20200328
